date,text,id
2/24/2021 23:46,"FDA Endorses Johnson And Johnson’s Single-Shot Vaccine
https://t.co/U8O5XZy1KA",1
2/24/2021 23:08,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/ExUeS64GKu via @Yahoo,2
2/24/2021 23:45,Johnson and Johnson COVID-19 vaccine scientific facts | Skeptical Raptor https://t.co/CMDSvj3zpi,3
2/24/2021 23:24,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/7LDiVtXlcT,4
2/24/2021 23:33,"Johnson and Johnson vaccine: FDA finds the single-shot jab safe @BBCNews
@ISGLOBALorg https://t.co/PsKRn7BnHc #COVID19",5
2/24/2021 23:50,"BBC News - Johnson and Johnson vaccine: FDA finds the single-shot jab safe
https://t.co/Uhqfd3oQsh",6
2/24/2021 23:07,"Johnson and Johnson vaccine: FDA finds the single-shot jab safe
https://t.co/KZvegE22bp",7
2/24/2021 23:20,米国で3つめの承認となる #JohnsonAndJohnson 傘下の #Janssen の #ワクチン は1回接種でよいが、#変異株 が多い南アとブラジルでは効果が低い。また、重症化回避は85%だが、全体的な効果は66%、と。Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/uxQekxMXUk,8
2/24/2021 23:44,PLZ TELL ME THE JOHNSON AND JOHNSON VACCINE GOT APPROVED! I WILL SHIT MY PANTS PLEASE,9
2/24/2021 23:34,The Pfizer/BioTech and Moderna vaccines should continue to go to older adults. Johnson and Johnson’s vaccine less effective one dose vaccine should go immediately to teachers and other “essential workers”.,10
2/24/2021 23:31,"FDA said the Johnson and Johnson vaccine is affective even against variants such as the South African one, kinda lit",11
2/24/2021 23:30,Johnson and Johnson @JNJCares  #COVID19 #vaccine scientific facts – it's slightly less effective and just as safe as other COVID-19 vaccines. It only requires one dose and can be stored in refrigerators. https://t.co/YT4NMAUep9 #VaccinesWork https://t.co/xiRzlscXjn,12
2/24/2021 23:27,Hey! I got an idea! Send all the Johnson and johnson vaccine to all Republican states! And send them their talc powder with it!,13
2/24/2021 23:54,@kiranstacey Johnson and Johnson is a brand synonymous with the black community. I have no doubt this will be the vaccine of choice 👴🏾,14
2/24/2021 23:53,"Johnson and Johnson vaccine: FDA finds the single-shot jab safe.
A review by US regulators of the single-shot Johnson &amp; Johnson coronavirus vaccine has found it is safe and effective
https://t.co/nAbQhbGNzj",15
2/24/2021 23:33,i trust a Johnson and johnson vaccine like i trust my pops making dinner for the family,16
2/24/2021 23:38,The Source |FDA Endorses Johnson And Johnson’s Single-Shot Vaccine https://t.co/uRNs3V9C1l,17
2/24/2021 23:57,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/6wuQFSTE8Z,18
2/24/2021 23:11,"Johnson and Johnson Vaccine has been approved...sign me up!

I've been waiting for this one, specifically.",19
2/24/2021 23:36,@LesterHoltNBC @NBCNightlyNews Johnson And Johnson Vaccine is your Top Story today.  Can’t believe your top story was Tiger Woods car accident.,20
2/24/2021 23:24,FDA Endorses Johnson And Johnson’s Single-Shot Vaccine https://t.co/vYvXscdGfO,21
2/24/2021 23:29,"@kimberley_321 @BBCWorld I'm talking about a vaccine that go's up your nose and Johnson and Johnson didn't make this shot and I'm sure more will come out about it ,  meantime I'm looking for the add .",22
2/24/2021 23:33,"Johnson and Johnson vaccine: FDA finds the single-shot jab safe.

You have to wonder where the Covid enthusiasts will go after this is all over, innit? The media has made such a huge profit out of this and some hold it so dear to their existence... https://t.co/S3lmmjpJb4",23
2/24/2021 23:13,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/NNjSFQTMWX,24
2/24/2021 23:40,Johnson and Johnson vaccine: FDA finds the single-shot jab safe,25
2/24/2021 23:35,@NBCNightlyNews Johnson And Johnson Vaccine is your Top Story today.  Can’t believe your top story was Tiger Woods car accident.,26
2/24/2021 23:12,"Johnson and Johnson vaccine: FDA finds the single-shot jab safe 
https://t.co/blWQkuLbBO",27
2/24/2021 23:06,Johnson and Johnson #vaccine: FDA finds the single-shot jab safe https://t.co/vMIlYZGq09,28
2/24/2021 23:30,FDA Endorses Johnson And Johnson’s Single-Shot Vaccine https://t.co/NOHnCKRnCr #WeGotUs #SourceLove,29
2/24/2021 23:53,@MattMcCarthy985 Johnson and Johnson also just came out with a one shot vaccine and it’s showing  good signs,30
2/24/2021 23:10,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/58chN5HvYx,31
2/24/2021 23:21,"FDA Endorses Johnson And Johnson's Single-Shot Vaccine
https://t.co/28EJGyfvzS https://t.co/wA3roi6OZl",32
2/24/2021 23:28,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/RkHIYkX62J https://t.co/w9J1GD33m2,33
2/24/2021 23:17,Wolf I did J and J Trial my husband had Covid 19 and I didn't get it.  We were on the list to get shots so they had to unbind me and we found out my first shot from testing was the vaccine from Johnson and Johnson so that is why I never caught it from my husband. We are 80s https://t.co/ZR4Tf3P1r1,34
2/24/2021 23:45,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/MVZkGpwIW4,35
2/24/2021 23:25,Johnson and Johnson COVID-19 vaccine scientific facts https://t.co/WN3P8UpCD7 via @skepticalraptor,36
2/24/2021 23:40,It’s strange that Johnson and Johnson is going to be distributing vaccines. Not like they were sued for giving hundreds of people ovarian cancer or anything.,37
2/24/2021 23:51,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/uf6LR3LPGH,38
2/24/2021 23:06,Can you mix vaccines? Like take a dose of Astrazeneca then 6 months down the line Johnson and Johnson. Just asking..,39
2/24/2021 23:27,"@trieuphu10 The Johnson and Johnson vaccine is also good.
I hope the gov can secure a supply of that, especially with the current vaccine storing infrastructure of VNVC.
My grandparents will take anything except the Chinese one...",40
2/24/2021 23:53,@FinancialTimes Johnson and Johnson is a brand synonymous with the black community. I have no doubt this will be the vaccine of choice,41
2/24/2021 23:09,Johnson and Johnson COVID-19 vaccine scientific facts https://t.co/fn5ZNLQpPi,42
2/24/2021 23:11,Johnson and Johnson @JNJCares  #COVID19 #vaccine scientific facts – it's slightly less effective and just as safe as other COVID-19 vaccines. It only requires one dose and can be stored in refrigerators. https://t.co/YT4NMBbPgH #VaccinesWork https://t.co/Q2gCCRdCmt,43
2/24/2021 23:41,"Johnson and Johnson vaccine: FDA finds the single-shot jab safe 
https://t.co/bGVsvM5YDh https://t.co/Mws37n5Esy",44
2/24/2021 23:54,We’re live at 5 at the Salt Lake County Health Department. Talking Johnson and Johnson vaccine. @ Salt Lake County Government https://t.co/SgNuCuzS9x,45
2/24/2021 23:57,"Johnson and Johnson had cancer-causing ingredients in their baby powder, y’all! You couldn’t pay me to take their weak, 70% effective vaccine. Waiting for that sweet sweet Moderna or Pfizer 💉",46
2/24/2021 23:15,We need to get the Johnson and Johnson  vaccine  and get Amazon  to deliver it to all Doctors offices and set up vaccination sights at all schools across the USA,47
2/24/2021 23:41,NEW: The FDA Panel is meeting this Friday to vote on giving Emergency Use Authorization for the Johnson and Johnson vaccine. #COVID19 #Covid19VaccineReport #COVID #COVIDVaccine @CBS21NEWS https://t.co/NJqG07AeCI,48
2/24/2021 23:42,Johnson and Johnson put asbestos in their baby powder for years and now we’re celebrating their vaccine. Can’t make this stuff up.,49
2/24/2021 23:45,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/HRLygI8X65,50
2/24/2021 22:43,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/UMXk0eXSJt,51
2/24/2021 22:24,@annettedittert Yay! Johnson and Johnson vaccine has been developed by Janssen Pharmaceutica which is a Belgian company in partnership with J&amp;J.,52
2/24/2021 22:30,The Johnson and Johnson vaccine could be on the way very soon.  It could receive emergency use authorization as early as Friday. https://t.co/JQiXMzyKQv,53
2/24/2021 22:37,"@UnseeingEyes ,anything on this Johnson and Johnson 1 vaccine dose being dubbed as the “safest”?Were not they recently sued for their talcum powder. Can we trust them?",54
2/24/2021 22:09,"Johnson and Johnson vaccine now approved and general vaccine availability estimated May to June.

Right as the weather turns for summer we will be free https://t.co/9JUUFUDaSx",55
2/24/2021 23:01,"Last hour popular Google searches:
02/24/2021, 23:01:32

GME

Fry's Electronics

England vs India

Real Madrid

Johnson and Johnson vaccine",56
2/24/2021 22:47,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/p7yrBYWXT3,57
2/24/2021 23:00,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/ESCaOJU6ZS,58
2/24/2021 22:14,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/yrSUdOMr7r,59
2/24/2021 22:52,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/HnGDQNmLsf,60
2/24/2021 22:06,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/rTiupmJnZo https://t.co/IkSD1Dm6xQ,61
2/24/2021 22:05,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/b51Mwxm0qn https://t.co/xyt7qFHqyE,62
2/24/2021 22:30,"Johnson and Johnson’s coronavirus vaccine reached a major milestone on Wednesday. If approved, it could mean thousands of doses of it coming here to North Carolina next week. https://t.co/bH5XxgSUFx",63
2/24/2021 22:33,I just figured out that the FDA says Johnson and Johnson’s single shot COVID-19 vaccine is safe and effective. https://t.co/BDvfQGIavL,64
2/24/2021 22:16,Y’all want me to take the Johnson and Johnson vaccine but they still are still getting sued for causing cancer from their baby powder,65
2/24/2021 23:04,Next up @CBCRadioActive When can Canadians expect @healthcanada to approve the AstraZeneca and the Johnson and Johnson vaccines? @globeandmail health reporter @carlyweeks gives us her take. #COVIDVaccine,66
2/24/2021 23:05,Johnson and Johnson seems ready to enter the Covid vaccine arena with a one shot entry that is said to be effective on new strains. I think we are almost at a point of sensing we'll control this. I hope that proves true.,67
2/24/2021 22:35,"@genmaknae Johnson and Johnson owns like everything so there’s no escaping them, and yeah their vaccine sounds like shit",68
2/24/2021 22:55,@WSJ Johnson and Johnson's will your Corona Vaccine be viable against the other corona Virus variants not just the two that're currently out? yes or no.,69
2/24/2021 23:03,My dad had a pretty good #dadjoke saying that he and I will be the first in line for the Johnson and Johnson vaccine.,70
2/24/2021 22:42,DeSantis says Floridians should start getting Johnson and Johnson vaccine next week https://t.co/WRAtP6iJuw,71
2/24/2021 22:45,"There are a lot of factors that will play into how fast we can reach herd immunity if Johnson and Johnson’s single-dose vaccine is approved. It comes down to supply, demand, and if we have enough people to continue putting shots into arms. https://t.co/im13SqMaYN",72
2/24/2021 22:39,@PadreFanDan I bet it will be close to 100% by August as long as there’s no major hiccups on the vaccine roll out. Especially if this Johnson and Johnson shot rolls out clean.,73
2/24/2021 22:56,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/8WCLnRVVEx https://t.co/VKFSbCS6f0,74
2/24/2021 22:58,@SunSentinel Governor DeSantis is making sure that the good vaccine goes to his rich friends and donors and watch the Johnson and Johnson will go to Black and minority neighborhoods which is a little more than 50% effective they’re talking points now is this is better than nothing,75
2/24/2021 22:30,Analysis from the FDA said the Johnson and Johnson COVID-19 vaccine meets the requirements for emergency use authorization. One local doctor breaks down what you need to know about the single-dose shot. https://t.co/KnpUigX42j,76
2/24/2021 22:07,Johnson and Johnson vaccine: FDA finds the single-shot jab safe https://t.co/upntDySGKj,77
2/24/2021 22:41,CORONAVIRUS CRISIS: What the rollout of Johnson and Johnson’s vaccine could look like in Indiana if approved https://t.co/ABjRogft1Z,78
